# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.033729730    4.003036571    4.003036561    2.937415954
    3.043738739    3.995254306    3.995254295    2.934628620
    3.053747748    3.987494067    3.987494057    2.931841525
    3.063756757    3.979755841    3.979755830    2.929054707
    3.073765766    3.972039608    3.972039597    2.926268203
    3.083774775    3.964345351    3.964345340    2.923482050
    3.093783784    3.956673050    3.956673040    2.920696286
    3.103792793    3.949022686    3.949022676    2.917910946
    3.113801802    3.941394238    3.941394228    2.915126068
    3.123810811    3.933787684    3.933787674    2.912341687
    3.133819820    3.926203002    3.926202992    2.909557839
    3.143828829    3.918640169    3.918640159    2.906774560
    3.153837838    3.911099159    3.911099149    2.903991885
    3.163846847    3.903579949    3.903579939    2.901209848
    3.173855856    3.896082513    3.896082503    2.898428485
    3.183864865    3.888606824    3.888606815    2.895647829
    3.193873874    3.881152856    3.881152846    2.892867916
    3.203882883    3.873720580    3.873720570    2.890088778
    3.213891892    3.866309968    3.866309958    2.887310449
    3.223900901    3.858920991    3.858920981    2.884532963
    3.233909910    3.851553618    3.851553609    2.881756353
    3.243918919    3.844207820    3.844207810    2.878980651
    3.253927928    3.836883564    3.836883555    2.876205891
    3.263936937    3.829580820    3.829580811    2.873432103
    3.273945946    3.822299555    3.822299545    2.870659320
    3.283954955    3.815039735    3.815039725    2.867887575
    3.293963964    3.807801327    3.807801317    2.865116897
    3.303972973    3.800584296    3.800584287    2.862347319
    3.313981982    3.793388609    3.793388599    2.859578871
    3.323990991    3.786214229    3.786214219    2.856811584
    3.334000000    3.779061120    3.779061111    2.854045488
    3.344009009    3.771929247    3.771929238    2.851280614
    3.354018018    3.764818572    3.764818562    2.848516991
    3.364027027    3.757729057    3.757729048    2.845754650
    3.374036036    3.750660665    3.750660656    2.842993618
    3.384045045    3.743613357    3.743613348    2.840233926
    3.394054054    3.736587095    3.736587086    2.837475602
    3.404063063    3.729581838    3.729581829    2.834718675
    3.414072072    3.722597547    3.722597538    2.831963174
    3.424081081    3.715634182    3.715634173    2.829209125
    3.434090090    3.708691702    3.708691693    2.826456558
    3.444099099    3.701770065    3.701770057    2.823705500
    3.454108108    3.694869231    3.694869222    2.820955978
    3.464117117    3.687989157    3.687989149    2.818208019
    3.474126126    3.681129801    3.681129793    2.815461650
    3.484135135    3.674291120    3.674291112    2.812716899
    3.494144144    3.667473071    3.667473063    2.809973790
    3.504153153    3.660675611    3.660675602    2.807232351
